iter	RMSE
253	38.99345429
254	38.99335864
255	38.99325003
256	38.99316198
257	38.99305696
258	38.99295721
259	38.99281314
260	38.99272594
261	38.99261977
262	38.99247102
263	38.99239403
264	38.99226985
265	38.99215497
266	38.9920712
267	38.99192501
268	38.99180352
269	38.99170027
270	38.99157821
271	38.99146559
272	38.99128689
273	38.99116813
274	38.99104634
275	38.99091062
276	38.9908156
277	38.99069128
278	38.99056235
279	38.99042831
280	38.99031312
281	38.99021611
282	38.99007873
283	38.98997573
284	38.98987782
285	38.98977906
286	38.98967064
287	38.98954505
288	38.98944139
289	38.98931856
290	38.98918582
291	38.98907901
292	38.98894331
293	38.9888191
294	38.98869609
295	38.98858746
296	38.98846421
297	38.98837366
298	38.98826227
299	38.98817781
300	38.98806095
301	38.98796755
302	38.98784532
303	38.98777901
304	38.98764412
305	38.98755556
306	38.98744927
307	38.98735384
308	38.9872641
309	38.98718047
310	38.98706054
311	38.98697986
312	38.98692575
313	38.98677582
314	38.9866636
315	38.98657732
316	38.98646402
317	38.98637449
318	38.98628437
319	38.98615598
320	38.98605535
321	38.98593072
322	38.98585151
323	38.98577945
324	38.98568453
325	38.98557035
326	38.98543236
327	38.9853541
328	38.98524757
329	38.98512395
330	38.98505934
331	38.98491923
332	38.9848169
333	38.98470104
334	38.98463281
335	38.98453757
336	38.98443622
337	38.98434726
338	38.98423806
339	38.98415064
340	38.98402723
341	38.98392593
342	38.98382375
343	38.98372424
344	38.98363012
345	38.98353207
346	38.98344635
347	38.98334363
348	38.98325706
349	38.98315198
350	38.98306548
351	38.98295203
352	38.98283983
353	38.98271878
354	38.98262899
355	38.98253705
356	38.98243115
357	38.98235294
358	38.98225631
359	38.98209218
360	38.98195967
361	38.98185858
362	38.98173327
363	38.98165525
364	38.98155974
365	38.98146684
366	38.98138359
367	38.98126978
368	38.98117273
369	38.98107517
370	38.98096303
371	38.98085069
372	38.98073818
373	38.98063817
374	38.98053148
375	38.98050539
376	38.98037212
377	38.98026537
378	38.98014947
379	38.98005046
380	38.97992948
381	38.97983723
382	38.97969098
383	38.97956173
384	38.97953966
385	38.97941097
386	38.97932743
387	38.97924681
388	38.9791336
389	38.97905313
390	38.97896486
391	38.97883842
392	38.97872268
393	38.97858889
394	38.97849607
395	38.97843028
396	38.97831292
397	38.97821253
398	38.97809338
399	38.97801293
400	38.9779173
401	38.97777038
402	38.97769329
403	38.97758132
404	38.9774888
405	38.97736424
406	38.97727415
407	38.97711008
408	38.97700151
409	38.97692148
410	38.97683093
411	38.97671813
412	38.97660026
413	38.9764544
414	38.97630869
415	38.97621507
416	38.97610117
417	38.9760231
418	38.97591132
419	38.9758376
420	38.97572202
421	38.97563616
422	38.9755664
423	38.97547208
424	38.97534772
425	38.97525138
426	38.97514544
427	38.97499657
428	38.97484735
429	38.97477175
430	38.97471026
431	38.97460718
432	38.97450597
433	38.97440762
434	38.97426714
435	38.97416406
436	38.97405984
437	38.97398005
438	38.97387521
439	38.97375477
440	38.97363841
441	38.97353835
442	38.97343466
443	38.97331519
444	38.97322675
445	38.97310071
446	38.97298735
447	38.97288477
448	38.97276423
449	38.97268343
450	38.97258249
451	38.972521
452	38.9723895
453	38.97231169
454	38.97219894
455	38.97212919
456	38.97201479
457	38.97192388
458	38.97185086
459	38.97176424
460	38.97169065
461	38.97156662
462	38.97148674
463	38.97135339
464	38.97125598
465	38.97114194
466	38.97104286
467	38.97097571
468	38.97088382
469	38.97077252
470	38.97065352
471	38.97056624
472	38.9704818
473	38.97040909
474	38.97029174
475	38.97016205
476	38.97005311
477	38.96997539
478	38.96996282
479	38.96986489
480	38.96976059
481	38.96963837
482	38.96955278
483	38.96947131
484	38.96939501
485	38.96939153
486	38.96926048
487	38.96916577
488	38.96906961
489	38.96897096
490	38.96886843
491	38.96873363
492	38.96865523
493	38.96856272
494	38.96846664
495	38.96834228
496	38.96823961
497	38.96811412
498	38.96801921
499	38.96796754
